Domínio,Únicas,Duplicadas,Total de Denúncias,Mês,Mês Número,Ano
orkut.com.br,3242.0,16181.0,19423,Maio,5,2010
formspring.me,22.0,43.0,65,Junho,6,2010
xvideos.com,37.0,29.0,66,Junho,6,2010
youtube.com,45.0,24.0,69,Junho,6,2010
co.tv,26.0,32.0,58,Junho,6,2010
hipersocial.com,25.0,1.0,26,Junho,6,2010
4shared.com,18.0,9.0,27,Junho,6,2010
orkut.com,959.0,3984.0,4943,Junho,6,2010
uol.com.br,32.0,30.0,62,Junho,6,2010
orkut.com.br,3748.0,13453.0,17201,Junho,6,2010
imagefap.com,19.0,0.0,19,Junho,6,2010
formspring.me,37.0,25.0,62,Julho,7,2010
